Data File Name,2100 expert_High Sensitivity DNA Assay_DE54700632_2020-03-13_17-24-22_exports.xad
Data File Path,E:\201905_exports
Date Created,"Saturday, March 14, 2020 12:24:22 AM"
Date Last Modified,"Tuesday, November 03, 2020 12:48:31 AM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,8
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
69.3,-1.101345
69.35,0.3005046
69.4,3.510362
69.45,10.19669
69.5,21.79057
69.55,40.65874
69.6,67.52594
69.65,99.08223
69.7,131.7572
69.75,161.5205
69.8,180.9535
69.85,184.3567
69.9,174.0217
69.95,151.4636
70,121.0802
70.05,89.87894
70.1,61.33536
70.15,38.30643
70.2,22.52445
70.25,13.22216
70.3,7.820532
70.35,5.571192
70.4,3.689146
70.45,2.091642
70.5,1.139409
70.55,0.6894534
70.6,0.5849538
70.65,0.435411
70.7,0.2901168
70.75,-0.0493617
70.8,-0.4026794
70.85,-0.5872095
70.9,-0.8413766
70.95,-0.7829502
71,-0.6672843
71.05,-0.7659249
71.1,-1.021489
71.15,-1.251764
71.2,-1.179194
71.25,-1.017442
71.3,-0.9192058
71.35,-0.887623
71.4,-1.245881
71.45,-1.35531
71.5,-1.394793
71.55,-1.354736
71.6,-1.234509
71.65,-1.300396
71.7,-1.33434
71.75,-1.402121
71.8,-1.526435
71.85,-1.569302
71.9,-1.546393
71.95,-1.63471
72,-1.761578
72.05,-1.683124
72.1,-1.743558
72.15,-1.934351
72.2,-1.788442
72.25,-1.816338
72.3,-1.75949
72.35,-1.509026
72.4,-1.445916
72.45,-1.652882
72.5,-1.676555
72.55,-1.635022
72.6,-1.673146
72.65,-1.71192
72.7,-1.672796
72.75,-1.873315
72.8,-1.847688
72.85,-1.726884
72.9,-1.687287
72.95,-1.805441
73,-1.94745
73.05,-1.914884
73.1,-1.872724
73.15,-1.917798
73.2,-1.927026
73.25,-2.084092
73.3,-2.208528
73.35,-2.200913
73.4,-2.130389
73.45,-1.981796
73.5,-1.939639
73.55,-1.752423
73.6,-1.8159
73.65,-1.859837
73.7,-1.832377
73.75,-1.797819
73.8,-1.834334
73.85,-1.842263
73.9,-1.808495
73.95,-1.742207
74,-1.626402
74.05,-1.635438
74.1,-1.859774
74.15,-2.072087
74.2,-2.142369
74.25,-2.092157
74.3,-2.056503
74.35,-2.186279
74.4,-2.188221
74.45,-2.205341
74.5,-2.284602
74.55,-1.974279
74.6,-2.008242
74.65,-2.026852
74.7,-2.053172
74.75,-2.000855
74.8,-1.91901
74.85,-1.732289
74.9,-1.564112
74.95,-1.650469
75,-1.793291
75.05,-1.773937
75.1,-1.888315
75.15,-1.97061
75.2,-2.043095
75.25,-1.967592
75.3,-1.853897
75.35,-2.055999
75.4,-1.968966
75.45,-2.086371
75.5,-2.273709
75.55,-2.264416
75.6,-2.246537
75.65,-2.209137
75.7,-2.149873
75.75,-2.020564
75.8,-2.059
75.85,-2.136789
75.9,-2.06605
75.95,-2.111337
76,-2.151386
76.05,-2.198271
76.1,-2.064296
76.15,-1.981995
76.2,-2.020995
76.25,-1.988094
76.3,-1.948121
76.35,-1.910896
76.4,-1.857393
76.45,-1.853966
76.5,-1.962539
76.55,-1.958871
76.6,-1.899562
76.65,-1.86526
76.7,-1.993595
76.75,-1.992404
76.8,-1.997887
76.85,-2.133181
76.9,-2.096948
76.95,-2.096655
77,-2.106248
77.05,-1.795249
77.1,-0.9713199
77.15,0.6909726
77.2,3.527078
77.25,9.194191
77.3,18.43854
77.35,32.89421
77.4,52.90825
77.45,77.6608
77.5,105.9647
77.55,134.0039
77.6,159.7585
77.65,179.839
77.7,190.7491
